Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,BLK,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game,BLK_per_game
Al Horford,32,C,BOS,68,1973,387,723,0.5352697095435685,314,520,0.6038461538461538,78,95,0.8210526315789474,120,338,458,86,925,13.602941176470589,28928710,6.735294117647059,1.7647058823529411,1.2647058823529411
Alex Len,25,C,ATL,77,1544,320,648,0.49382716049382713,246,444,0.5540540540540541,140,216,0.6481481481481481,158,266,424,69,854,11.090909090909092,4350000,5.5064935064935066,2.051948051948052,0.8961038961038961
Amir Johnson,31,C,PHI,51,529,79,157,0.5031847133757962,67,117,0.5726495726495726,31,41,0.7560975609756098,47,100,147,13,201,3.9411764705882355,2393887,2.8823529411764706,0.9215686274509803,0.2549019607843137
Andre Drummond,25,C,DET,79,2647,561,1052,0.5332699619771863,556,1014,0.5483234714003945,243,412,0.5898058252427184,423,809,1232,138,1370,17.341772151898734,25434262,15.594936708860759,5.3544303797468356,1.7468354430379747
Anthony Davis,25,C,NOP,56,1850,530,1026,0.5165692007797271,482,881,0.547105561861521,344,433,0.7944572748267898,174,498,672,135,1452,25.928571428571427,25434263,12,3.107142857142857,2.4107142857142856
Aron Baynes,32,C,BOS,51,821,105,223,0.47085201793721976,84,162,0.5185185185185185,53,62,0.8548387096774194,88,152,240,34,284,5.568627450980392,5193600,4.705882352941177,1.7254901960784315,0.6666666666666666
Bam Adebayo,21,C,MIA,82,1913,280,486,0.5761316872427984,277,471,0.5881104033970276,166,226,0.7345132743362832,165,432,597,65,729,8.890243902439025,2955840,7.280487804878049,2.0121951219512195,0.7926829268292683
Brook Lopez,30,C,MIL,81,2322,355,786,0.45165394402035625,168,274,0.6131386861313869,112,133,0.8421052631578947,33,363,396,179,1009,12.45679012345679,3382000,4.888888888888889,0.4074074074074074,2.2098765432098766
Channing Frye,35,C,CLE,36,341,43,117,0.36752136752136755,11,38,0.2894736842105263,11,14,0.7857142857142857,4,48,52,5,129,3.5833333333333335,2393887,1.4444444444444444,0.1111111111111111,0.1388888888888889
Cody Zeller,26,C,CHO,49,1243,190,345,0.5507246376811594,184,323,0.5696594427244582,111,141,0.7872340425531915,110,223,333,41,497,10.142857142857142,13528090,6.795918367346939,2.2448979591836733,0.8367346938775511
Cristiano Felicio,26,C,CHI,60,746,95,179,0.5307262569832403,95,175,0.5428571428571428,50,73,0.684931506849315,79,139,218,7,240,4,8470980,3.6333333333333333,1.3166666666666667,0.11666666666666667
Daniel Theis,26,C,BOS,66,908,146,266,0.5488721804511278,120,199,0.6030150753768844,56,76,0.7368421052631579,87,138,225,42,374,5.666666666666667,1378242,3.409090909090909,1.3181818181818181,0.6363636363636364
Deandre Ayton,20,C,PHO,71,2183,509,870,0.5850574712643678,509,866,0.5877598152424942,141,189,0.746031746031746,223,506,729,67,1159,16.323943661971832,8175840,10.267605633802816,3.140845070422535,0.9436619718309859
