Player,Age,Pos,Tm,G,GS,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FTF,PTS_per_game,PTS_per_min,ASTTOVR,Salary
Aaron Gordon,23,PF,ORL,78,78,2633,470,1046,0.44933078393881454,121,347,0.34870317002881845,349,699,0.49928469241773965,185,253,0.7312252964426877,129,445,574,289,57,56,162,172,1246,0.2418738049713193,15.974358974358974,0.47322445879225217,1.7839506172839505,21590909
Aaron Holiday,22,PG,IND,50,0,646,105,262,0.40076335877862596,43,127,0.33858267716535434,62,135,0.45925925925925926,41,50,0.82,5,62,67,87,21,13,40,71,294,0.19083969465648856,5.88,0.4551083591331269,2.175,1914480
Abdel Nader,25,SF,OKC,61,1,694,91,215,0.4232558139534884,32,100,0.32,59,115,0.5130434782608696,27,36,0.75,14,102,116,20,20,12,26,68,241,0.16744186046511628,3.9508196721311477,0.3472622478386167,0.7692307692307693,1378242
Al Horford,32,C,BOS,68,68,1973,387,723,0.5352697095435685,73,203,0.35960591133004927,314,520,0.6038461538461538,78,95,0.8210526315789474,120,338,458,283,59,86,102,126,925,0.1313969571230982,13.602941176470589,0.4688291941206285,2.7745098039215685,28928710
Al-Farouq Aminu,28,PF,POR,81,81,2292,257,593,0.433389544688027,96,280,0.34285714285714286,161,313,0.5143769968051118,150,173,0.8670520231213873,112,498,610,104,68,33,72,143,760,0.2917369308600337,9.382716049382717,0.33158813263525305,1.4444444444444444,6957105
Alan Williams,26,PF,BRK,5,0,26,8,13,0.6153846153846154,0,1,0,8,12,0.6666666666666666,2,4,0.5,4,15,19,3,1,0,1,2,18,0.3076923076923077,3.6,0.6923076923076923,3,77250
Alec Burks,27,"SG, SG, SG","SAC, UTA, CLE",64,24,1375,192,474,0.4050632911392405,61,168,0.3630952380952381,131,306,0.42810457516339867,116,141,0.8226950354609929,30,205,235,128,39,21,65,91,561,0.2974683544303797,8.765625,0.408,1.9692307692307693,11536515
Alex Abrines,25,SG,OKC,31,2,588,56,157,0.35668789808917195,41,127,0.3228346456692913,15,30,0.5,12,13,0.9230769230769231,5,43,48,20,17,6,14,53,165,0.08280254777070063,5.32258064516129,0.28061224489795916,1.4285714285714286,3667645
Alex Caruso,24,PG,LAL,25,4,531,77,173,0.44508670520231214,24,50,0.48,53,123,0.43089430894308944,51,64,0.796875,20,47,67,77,24,9,42,54,229,0.3699421965317919,9.16,0.4312617702448211,1.8333333333333333,77250
Alex Len,25,C,ATL,77,31,1544,320,648,0.49382716049382713,74,204,0.3627450980392157,246,444,0.5540540540540541,140,216,0.6481481481481481,158,266,424,86,27,69,97,200,854,0.3333333333333333,11.090909090909092,0.5531088082901554,0.8865979381443299,4350000
Alex Poythress,25,PF,ATL,21,1,305,40,81,0.49382716049382713,9,23,0.391304347826087,31,58,0.5344827586206896,18,29,0.6206896551724138,29,47,76,17,4,10,13,47,107,0.35802469135802467,5.095238095238095,0.35081967213114756,1.3076923076923077,77250
Alfonzo McKinnie,26,SF,GSW,72,5,1003,134,275,0.48727272727272725,42,118,0.3559322033898305,92,157,0.5859872611464968,27,48,0.5625,81,166,247,31,18,15,30,134,337,0.17454545454545456,4.680555555555555,0.33599202392821537,1.0333333333333334,1349383
Alize Johnson,22,PF,IND,14,0,64,4,16,0.25,1,2,0.5,3,14,0.21428571428571427,4,8,0.5,4,15,19,1,1,3,0,7,13,0.5,0.9285714285714286,0.203125,Inf,838464
