Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X2P,X2PA,X2Pp,FT,FTA,FTp,ORB,DRB,TRB,PTS,PTS_per_game,Salary,TRB_per_game,ORB_per_game
Aaron Gordon,23,PF,ORL,78,2633,470,1046,0.449,349,699,0.499,185,253,0.731,129,445,574,1246,15.974,21590909,7.359,1.654
Al-Farouq Aminu,28,PF,POR,81,2292,257,593,0.433,161,313,0.514,150,173,0.867,112,498,610,760,9.383,6957105,7.531,1.383
Alan Williams,26,PF,BRK,5,26,8,13,0.615,8,12,0.667,2,4,0.5,4,15,19,18,3.6,77250,3.8,0.8
Alex Poythress,25,PF,ATL,21,305,40,81,0.494,31,58,0.534,18,29,0.621,29,47,76,107,5.095,77250,3.619,1.381
Alize Johnson,22,PF,IND,14,64,4,16,0.25,3,14,0.214,4,8,0.5,4,15,19,13,0.929,838464,1.357,0.286
Anthony Tolliver,33,PF,MIN,65,1079,99,259,0.382,18,44,0.409,47,60,0.783,15,162,177,326,5.015,5750000,2.723,0.231
Blake Griffin,29,PF,DET,75,2622,619,1341,0.462,430,819,0.525,414,550,0.753,100,465,565,1841,24.547,31873932,7.533,1.333
Carmelo Anthony,34,PF,HOU,10,294,49,121,0.405,28,57,0.491,15,22,0.682,9,45,54,134,13.4,2393887,5.4,0.9
Cheick Diallo,22,PF,NOP,64,896,168,271,0.62,167,267,0.625,50,67,0.746,75,257,332,387,6.047,1544951,5.188,1.172
Chimezie Metu,21,PF,SAS,29,145,19,58,0.328,19,56,0.339,13,17,0.765,9,27,36,51,1.759,838464,1.241,0.31
Chris Boucher,26,PF,TOR,28,163,34,76,0.447,22,39,0.564,13,15,0.867,16,40,56,93,3.321,457418,2,0.571
Dante Cunningham,31,PF,SAS,64,928,75,158,0.475,45,93,0.484,14,18,0.778,48,140,188,194,3.031,2487000,2.938,0.75
Davis Bertans,26,PF,SAS,76,1632,204,453,0.45,59,115,0.513,53,60,0.883,23,241,264,606,7.974,7000000,3.474,0.303
