Player,Age,Pos,Tm,G,MP,FG,FGA,FGp,X3P,X3PA,X3Pp,X2P,X2PA,X2Pp,FT,FTA,FTp,AST,ORB,DRB,TRB,PTS,Salary,PTS_per_game,FT_per_game
Alex Abrines,25,SG,OKC,31,588,56,157,0.357,41,127,0.323,15,30,0.5,12,13,0.923,20,5,43,48,165,3667645,5.323,0.387
Allen Crabbe,26,SG,BRK,43,1133,137,373,0.367,98,259,0.378,39,114,0.342,41,56,0.732,46,16,132,148,413,19332500,9.605,0.953
Allonzo Trier,23,SG,NYK,64,1459,232,518,0.448,52,132,0.394,180,386,0.466,179,223,0.803,119,31,166,197,695,3382000,10.859,2.797
Anfernee Simons,19,SG,POR,20,141,28,63,0.444,10,29,0.345,18,34,0.529,9,16,0.562,13,3,10,13,75,1837800,3.75,0.45
Antonio Blakeney,22,SG,CHI,57,829,166,396,0.419,36,91,0.396,130,305,0.426,50,76,0.658,42,7,99,106,418,1349383,7.333,0.877
Ben McLemore,25,SG,SAC,19,158,25,64,0.391,17,41,0.415,8,23,0.348,8,12,0.667,4,3,14,17,75,5460000,3.947,0.421
Billy Garrett,24,SG,NYK,4,63,11,27,0.407,0,8,0,11,19,0.579,4,4,1,7,0,3,3,26,67370,6.5,1
Bogdan Bogdanovic,26,SG,SAC,70,1947,361,863,0.418,134,372,0.36,227,491,0.462,134,162,0.827,267,40,203,243,990,9000000,14.143,1.914
Bradley Beal,25,SG,WAS,82,3028,764,1609,0.475,209,596,0.351,555,1013,0.548,362,448,0.808,448,89,322,411,2099,25434262,25.598,4.415
Brandon Sampson,21,SG,CHI,14,214,28,60,0.467,11,29,0.379,17,31,0.548,4,6,0.667,10,3,13,16,71,77250,5.071,0.286
Bruce Brown,22,SG,DET,74,1449,125,314,0.398,24,93,0.258,101,221,0.457,45,60,0.75,91,48,137,185,319,838464,4.311,0.608
Bryn Forbes,25,SG,SAS,82,2293,361,791,0.456,176,413,0.426,185,378,0.489,69,78,0.885,175,18,221,239,967,3125000,11.793,0.841
Buddy Hield,26,SG,SAC,82,2615,623,1360,0.458,278,651,0.427,345,709,0.487,171,193,0.886,205,106,306,412,1695,3833760,20.671,2.085
CJ McCollum,27,SG,POR,70,2375,571,1243,0.459,167,445,0.375,404,798,0.506,159,192,0.828,207,62,220,282,1468,25759766,20.971,2.271
CJ Williams,28,SG,MIN,15,128,17,35,0.486,5,16,0.312,12,19,0.632,0,1,0,12,1,7,8,39,77250,2.6,0
Damion Lee,26,SG,GSW,32,375,56,127,0.441,27,68,0.397,29,59,0.492,19,22,0.864,13,8,56,64,158,77250,4.938,0.594
Damyean Dotson,24,SG,NYK,73,2004,290,698,0.415,126,342,0.368,164,356,0.461,73,98,0.745,135,34,228,262,779,1378242,10.671,1
Daniel Hamilton,23,SG,ATL,19,204,23,60,0.383,8,23,0.348,15,37,0.405,3,6,0.5,22,10,37,47,57,1349383,3,0.158
Danny Green,31,SG,TOR,80,2216,293,630,0.465,198,435,0.455,95,195,0.487,37,44,0.841,126,60,257,317,821,10000000,10.262,0.462
Daryl Macon,23,SG,DAL,8,90,10,27,0.37,5,11,0.455,5,16,0.312,4,7,0.571,7,2,10,12,29,77250,3.625,0.5
David Nwaba,26,SG,CLE,51,984,126,262,0.481,24,75,0.32,102,187,0.545,58,85,0.682,54,41,122,163,334,1512601,6.549,1.137
DeMar DeRozan,29,SG,SAS,77,2688,631,1313,0.481,7,45,0.156,624,1268,0.492,366,441,0.83,475,54,408,462,1635,27739975,21.234,4.753
Deonte Burton,25,SG,OKC,32,240,33,82,0.402,8,27,0.296,25,55,0.455,8,12,0.667,9,4,24,28,82,500000,2.562,0.25
DeVaughn Akoon-Purcell,25,SG,DEN,7,22,3,10,0.3,0,4,0,3,6,0.5,1,2,0.5,6,1,3,4,7,77250,1,0.143
